Sr No,College Name,Avg Package (LPA),Tier,College Code,Official Sites 
246,"Shreeyash College of Engineering and Technology, Aurangabad",2–3,Tier 4,2112,https://sycet.org/
247,"Jagdambha College of Engineering and Technology, Yavatmal",2–3,Tier 4,1127,https://jcoet.ac.in/
248,"Dilkap Research Institute of Engineering, Karjat",2–3,Tier 4,3353,http://dilkap.in/
249,"Wainganga College of Engineering and Management, Nagpur",2–3,Tier 4,4145,https://www.wcem.in/
250,"Matsyodari Shikshan Sansatha's College of Engineering, Jalna",2–3,Tier 4,2138,https://msscetjalna.org/
251,"D.N. Patel College of Engineering, Shahada, Nandurbar",2–3,Tier 4,5164,https://coeshahada.ac.in/
252,"Vilasrao Deshmukh Foundation Group of Institutions, Latur",2–3,Tier 4,2254,https://coeshahada.ac.in/
253,"Khandesh College of Engineering And Management, Jalgaon",2-3,Tier 4,5106,https://coem.ac.in/
254,"Shri Chhatrapati Shivajiraje College of Engineering, Bhor",2–3,Tier 4,,https://www.scscoe.ac.in/
255,"Vishwabharati Academy's College of Engineering, Ahmednagar",2–3,Tier 4,5179,https://vacoea.in/
256,"College of Engineering and Technology, North Maharashtra, Jalgaon",2–3,Tier 4,5396,https://www.nmkcj.org.in/
